P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
979484.0,168,0.786261,0.161339,0.648147,182881,13,26,3.11322e-08,0.0998434,0.9998235568080089,0.6840199373378124
876375.0,242,0.917447,0.583881,0.202984,112901,18,21,0.00356026,0.545621,0.9403320856741246,0.2613383724600282
970294.0,135,0.0702842,0.329141,0.711238,19425,32,33,6.1347e-09,0.00907194,0.9999216756742768,0.9047532677725897
290366.0,475,0.700281,0.411998,0.653402,83507,17,32,0.00519116,0.0655669,0.9279502949346772,0.7439396555497122
906399.0,199,0.758038,0.262208,0.84579,100510,36,20,0.00407354,0.0223474,0.9361757099530281,0.8505095320764564
765053.0,313,0.931577,0.219188,0.663626,116679,33,13,0.00351362,0.113145,0.9407242039277413,0.6636296683713023
411929.0,307,0.414393,0.482886,0.760217,50530,34,32,0.00250416,0.0135148,0.9499584172912167,0.8837468280002648
717891.0,224,0.773788,0.180082,0.327062,193788,44,45,3.50658e-09,0.296418,0.9999407836171318,0.45555716553526027
417742.0,273,0.522257,0.253066,0.371246,133550,21,41,8.48851e-05,0.121717,0.9907866889773546,0.6511203645954668
315227.0,293,0.930794,0.15267,0.549568,174094,20,21,0.000110136,0.191151,0.9895054299754588,0.5627918116045858
742339.0,91,0.336843,0.264507,0.770144,92090,25,36,7.22569e-10,0.0450579,0.9999731193564065,0.7877315379054156
771693.0,460,0.312598,0.362334,0.891248,145453,48,24,0.00843714,0.00224042,0.9081460942583278,0.9526669248833335
679010.0,244,0.0315808,0.240195,0.290248,47064,32,29,0.00267145,0.00777531,0.9483139283752383,0.9118222817260505
477519.0,111,0.378791,0.139212,0.0110621,49574,37,27,4.27468e-25,0.287566,0.9999999999993462,0.4637481934762364
385740.0,421,0.137045,0.576101,0.963031,83084,10,34,0.0070295,0.000167272,0.9161578864770216,0.9870666323024512
425874.0,176,0.216924,0.634288,0.722124,93850,15,38,0.00274598,0.00660462,0.9475979008054066,0.9187311867934569
970294.0,135,0.0702842,0.329141,0.711238,19425,32,33,6.1347e-09,0.00907194,0.9999216756742768,0.9047532677725897
712427.0,168,0.16984,0.409449,0.687963,70777,14,28,0.000983429,0.00711346,0.9686403284455976,0.9156586696808735
414570.0,453,0.0400236,0.792282,0.440782,18382,47,14,0.00449363,0.00112395,0.9329654566659845,0.9664746364672954
712427.0,168,0.0388615,0.409449,0.687963,70777,14,29,0.00481472,0.00358474,0.9306118165679487,0.9401273017143874
679010.0,244,0.0315808,0.240195,0.290248,47064,32,29,0.00267145,0.00777531,0.9483139283752383,0.9118222817260505
679010.0,288,0.0315808,0.582075,0.290248,74193,32,29,0.00682972,0.00186685,0.9173578799884707,0.9567929403916443
828732.0,343,0.503426,0.581888,0.970585,101922,30,40,0.00932361,0.000749937,0.9034411578362707,0.9726150223662681
416423.0,421,0.0461542,0.576101,0.529605,83084,10,34,0.0073398,0.00127731,0.9143273672635187,0.9642605260251358
370122.0,329,0.165279,0.379687,0.623361,86830,45,29,0.00343119,0.00762664,0.9414236395804587,0.912669363909336
583492.0,79,0.178241,0.541294,0.970585,153887,13,36,0.00449398,0.00419071,0.9329628461224673,0.9352643065998363
