Pressure,1_0_000_q,1_0_000_e,1_1_250_q,1_1_250_e,2_0_000_q,2_0_000_e,2_1_031_q,2_1_031_e,2_2_062_q,2_2_062_e,2_3_094_q,2_3_094_e,2_4_125_q,2_4_125_e,2_5_156_q,2_5_156_e,2_6_188_q,2_6_188_e,2_7_219_q,2_7_219_e,3_10_093_q,3_10_093_e,3_12_111_q,3_12_111_e,3_14_130_q,3_14_130_e,3_16_148_q,3_16_148_e,3_18_167_q,3_18_167_e,3_1_009_q,3_1_009_e,3_22_204_q,3_22_204_e,3_2_019_q,3_2_019_e,3_3_028_q,3_3_028_e,3_4_037_q,3_4_037_e,3_6_056_q,3_6_056_e
2000.0,10.45596,0.0523938,20.59377,0.0811574,10.51157,0.09939966,11.43255,0.1210447,12.66429,0.1610168,13.54364,0.04615317,14.55013,0.07421161,15.66978,0.1275657,13.59824,0.08196434,14.58589,,12.09575202,0.056197808,13.22190077,0.299362958,13.04123086,0.332722222,13.31995621,0.495011939,12.97932139,0.244065788,10.757907,0.352644017,13.77806876,0.360923697,10.9953457,0.368194756,11.12441564,0.33222025,11.40571474,0.402504833,12.05164041,0.435996188
3000.0,10.59193,0.08841469,20.96502,0.06183971,10.56304,0.1471902,11.72289,0.07461597,12.50392,0.05197803,13.81625,0.128803,14.8745,0.0754159,15.87771,0.1291464,16.99295,0.1275532,16.86003,,13.13092675,0.298614716,13.84905106,0.347704146,14.09415892,0.271426454,14.36839795,0.281325442,13.54088046,0.334430986,10.8267066,0.409154558,15.19379827,0.402264429,11.15208838,0.292044093,11.3185623,0.392751239,11.58551232,0.310137417,12.17220222,0.37992577
4000.0,10.59427,0.09811827,21.35966,0.1682493,10.59215,0.06306089,11.56387,0.03617908,12.65409,0.04837602,13.86106,0.107365,15.15323,0.0671136,16.27368,0.1544863,17.11606,,18.9512,,13.31281366,0.294731481,14.14448499,0.284760674,14.57916323,0.224376952,14.84706131,0.28596677,14.49725824,0.238484632,10.86576629,0.41479565,16.28983235,0.22955443,11.12131419,0.405791753,11.44535549,0.398781794,11.60993756,0.332238941,12.28592227,0.332271555
5000.0,10.45468,0.1052636,21.57031,0.0722411,10.37468,0.1080337,11.68974,0.08749124,12.7268,0.1324812,13.8417,0.0737434,15.11806,0.08400319,16.24435,0.08482096,17.33964,,19.0819,,13.41541873,0.403154822,14.21016978,0.267034077,14.79510802,0.362234448,15.28328082,0.371664811,15.5750883,0.220819168,10.89324213,0.381787881,16.82514214,0.138101399,11.18388088,0.327608451,11.38870819,0.373004997,11.67503168,0.412447711,12.25088236,0.334686032
6000.0,10.85961,0.1584485,21.63758,0.1480717,10.74719,0.1840055,11.80013,0.05580996,12.72202,0.08766725,13.99489,0.04861894,15.11846,0.2062373,16.24671,0.09489297,17.86132,,19.02962,,13.64017516,0.361267862,14.28841377,0.359169534,14.96842618,0.369892076,15.67864556,0.310068132,16.28205347,0.328899,11.06253915,0.44956882,17.40682872,0.242698646,11.19885895,0.369018207,11.46829989,0.411992252,11.71469873,0.395521454,12.29264348,0.33099016
7000.0,10.64496,0.05831998,21.66562,0.1662355,10.94698,0.09281964,11.83666,0.0693586,12.83617,0.07982774,14.19085,0.01795287,15.17415,0.1103082,16.31404,0.259699,17.56244,0.1041443,19.0819,,13.57322807,0.316622256,14.33159273,0.350313172,14.95076119,0.289590369,15.7598421,0.319015012,16.32319466,0.374506855,11.03676053,0.397988552,18.02375882,0.271861229,11.2194745,0.345583498,11.66086501,0.395241733,11.71447555,0.396567797,12.42264148,0.401055951
8000.0,10.70468,0.2106111,21.65113,0.1615833,10.71898,0.1243365,11.87293,0.08146809,12.99454,0.1674526,14.16914,0.05830467,15.11533,0.1482473,16.28044,0.0619281,17.78679,,19.13418,,13.65383452,0.369943849,14.42901012,0.345628477,15.11079852,0.273440697,15.82540481,0.265709991,16.36522158,0.349387297,10.9926179,0.410849804,18.22543049,0.342099626,11.1502594,0.404282612,11.53222199,0.339512298,11.83644959,0.448923358,12.42622783,0.424277126
9000.0,10.73175,0.09101672,21.9103,0.1088397,10.79509,0.08982953,11.98234,0.06018151,13.1832,0.1110183,14.25918,0.01907084,15.26323,0.1947206,16.42721,0.03786737,17.81164,,19.42171,,13.79650031,0.333417107,14.28715056,0.346921051,15.14441201,0.375607589,15.84330606,0.311749733,16.41358636,0.227561539,10.99439818,0.41438145,18.19861999,0.247440923,11.27716269,0.397459241,11.63591521,0.372369793,11.93201976,0.459266034,12.49006032,0.426154158
10000.0,10.72195,0.09152146,21.79136,0.1002909,10.68724,0.1029282,11.68489,0.0641684,13.00355,0.1278012,14.20281,0.0523233,14.98897,0.08657621,16.68866,0.02319356,17.76195,,19.44785,,13.77293347,0.398268016,14.59799181,0.370971132,15.10807492,0.35082923,15.86698285,0.399558366,16.56304416,0.228831901,11.10814748,0.327938773,18.33902648,0.206953039,11.31156132,0.395567206,11.57571721,0.38601618,11.8487482,0.336720815,12.48941545,0.419826563
20000.0,10.82777,0.2298631,22.24204,0.0842867,10.99424,0.1266523,11.87145,0.05209504,13.00393,0.2205456,14.53306,0.1073898,15.20008,0.05667745,16.80257,0.05132838,18.31163,0.1314566,19.70925,,13.80191038,0.299912367,14.70049077,0.49187589,15.26522719,0.332983266,16.34882196,0.40762107,16.85600826,0.375636337,11.0047689,0.411336124,18.66243746,0.311565826,11.41508159,0.404714079,11.6556419,0.331677063,12.02057629,0.386552175,12.71247153,0.501339261
30000.0,10.84636,0.07246256,22.42952,0.1306206,10.70248,0.1583341,11.89076,0.2260905,12.70124,0.08602219,14.46588,0.04127494,15.87187,0.05504623,17.08105,0.1894773,18.19607,0.08875369,19.36943,,14.02322438,0.473771329,15.07087692,0.012182982,15.54152019,0.36829835,16.26523826,0.439858279,17.05118096,0.343124407,11.18365286,0.453104675,18.87664174,0.364931156,11.45598262,0.472459799,11.80659412,0.419173017,11.72122383,0.681039839,12.68232891,0.397423343
40000.0,11.22177,0.1142309,22.44801,0.108217,11.08315,0.06081013,11.99634,0.06631506,13.09375,0.131425,14.50641,0.09333987,15.75432,0.1114046,17.13384,0.08179436,18.33878,0.104972,20.31046,,13.9079908,0.326314668,14.93320387,0.407462968,15.19002892,0.375460027,16.52252561,0.014390736,17.16718844,0.450698953,11.26804305,0.437008116,18.89637083,0.438596854,11.49474137,0.403664527,12.09628274,0.003799146,12.1244753,0.421812714,12.9190539,0.447493528
50000.0,10.94311,0.02229166,22.64102,0.09000536,11.1586,0.06750762,12.00902,0.05145437,13.48164,0.06797732,14.4328,0.168831,16.0815,0.09643701,16.80338,0.1670545,18.71104,0.1642048,20.15362,,14.07356567,0.401693201,14.961283,0.456645007,15.62898291,0.431493554,16.55085122,0.386777449,17.11993815,0.366996618,11.0323901,0.296245444,19.2072577,0.373146615,11.26440672,0.435738802,11.87253541,0.473185762,12.19419911,0.467321362,12.82361596,0.399021655
60000.0,11.18303,0.1326967,22.78471,0.07312239,11.1918,0.1250355,12.20419,0.152145,13.1862,0.08926991,14.79255,0.1025587,15.60473,0.08988546,17.16636,0.165179,18.44954,0.1640031,20.36274,,14.16386202,0.441591516,15.06935171,0.448572063,15.83357145,0.473974285,16.5439986,0.520976909,17.26212318,0.429731872,11.34107866,0.458524355,19.16587331,0.479121368,11.54287621,0.422238628,11.76209735,0.395400462,12.17153979,0.453738689,12.74933356,0.421521859
70000.0,11.30619,0.0754629,22.67517,0.1900434,11.39041,0.211087,11.79675,0.1540051,13.32661,0.1564462,14.26626,0.08322944,15.72511,0.134209,17.04099,0.2659824,18.73079,,20.25818,,14.16055754,0.453622774,15.08982414,0.479643218,15.75470367,0.461477247,16.48807915,0.447970312,17.4446348,0.509180255,11.25716721,0.481730509,19.1549021,0.418588416,11.61489513,0.370122013,11.98473847,0.521994379,12.37124931,0.526487173,13.02967312,0.427788578
80000.0,11.3236,0.1378947,22.5008,0.1534673,11.52923,0.1693375,12.05665,0.04842807,13.53694,0.1421983,14.74941,0.1482957,15.62845,0.1238081,17.08335,0.1423739,18.59688,0.04104137,20.36274,,14.22913806,0.474786187,15.11080121,0.517313407,15.76938964,0.462539952,16.64080514,0.526575895,17.25988165,0.454786569,11.4805544,0.558454635,18.93418991,0.303694096,11.60491316,0.555747137,11.95284974,0.413314994,12.29358046,0.455197342,12.85730703,0.465948118
90000.0,11.17431,0.11908,22.76882,0.08653788,11.16602,0.1664113,12.13668,0.1151661,13.35645,0.1214002,14.46804,0.1432025,15.70497,0.04441132,17.41581,,18.58173,,20.31046,,14.31676261,0.020645168,15.10662309,0.491237669,15.81895595,0.502677902,16.63175518,0.366191017,17.42647103,0.397207738,11.22435588,0.459933085,19.389083,0.373791893,11.75602717,0.429051489,11.76265521,0.395138501,12.28853264,0.497962977,12.99570243,0.508560908
100000.0,11.09277,0.1994502,22.91926,0.1308396,11.43812,0.1007203,12.07053,0.08086176,13.30634,0.1822225,14.46447,0.1703563,16.11378,0.1625945,17.00693,0.255218,18.9792,,20.67641,,14.32014328,0.421843637,15.18391137,0.526483071,15.84099483,0.489360014,16.72443818,0.521229336,17.50674726,0.470029522,11.38795821,0.482775551,19.3378126,0.523473152,11.48995859,0.441079449,11.99230369,0.395393561,12.36285616,0.352928948,13.08225596,0.424138662
