P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
533758.0,471,0.0241211,0.767098,0.968022,198935,20,48,0.00980274,0.000209343,0.900991212511212,0.9855313096653499
509313.0,370,0.194654,0.767098,0.968022,179493,21,45,0.0094104,0.000535783,0.902992783773577,0.9768530131550562
277759.0,426,0.0601123,0.685208,0.683828,13980,29,38,0.00466699,0.00390789,0.9316846283769165,0.9374868813767863
873686.0,254,0.046727,0.659036,0.404562,94788,43,12,0.00857262,0.00383017,0.907411555796633,0.9381116327570358
218818.0,252,0.372884,0.702149,0.897685,83582,36,49,0.0062557,0.00580426,0.9209070167461108,0.9238143058048297
247454.0,390,0.169088,0.605903,0.678098,33560,36,19,0.00448656,0.00975821,0.9330182114302701,0.9012163475062802
277759.0,426,0.01,0.549298,0.683828,109548,29,37,0.00960329,0.00138692,0.9020036225159318,0.9627586251596427
277759.0,426,0.0601123,0.685208,0.525377,109548,31,20,0.00918318,0.00290244,0.9041710899571533,0.9461257018607203
218818.0,252,0.372884,0.474701,0.897685,158925,43,49,0.00882638,0.00421362,0.9060511841479628,0.9350875974870749
212423.0,434,0.0178387,0.359371,0.192197,110631,28,27,0.00946805,0.00347562,0.9026960946313047,0.9410456108504209
745532.0,299,0.0785019,0.367739,0.620072,147253,36,37,0.00849611,0.00585617,0.9078256543283327,0.9234743833739316
782888.0,254,0.0783115,0.659036,0.404562,98843,43,15,0.00809814,0.00640144,0.9100103339266113,0.9199910005061931
911786.0,146,0.01,0.634489,0.397189,97262,18,30,0.00871317,0.00477655,0.9066556375564115,0.9308874106981948
561739.0,229,0.210971,0.753796,0.74258,80433,35,25,0.00672438,0.00798221,0.9179976829595651,0.910656785372363
212423.0,434,0.0178387,0.497241,0.192197,110631,25,28,0.00960988,0.00219425,0.9019700045904316,0.9531571777109875
675437.0,329,0.146091,0.767661,0.491073,84404,40,24,0.00782245,0.0094087,0.9115553845618627,0.9030015464040793
911786.0,115,0.0147077,0.574499,0.397189,97262,19,30,0.00817196,0.00905304,0.9096011062014584,0.9048525355040924
675437.0,329,0.146091,0.767661,0.491073,62398,40,24,0.00748023,0.00982962,0.9135116770887538,0.9008555599138308
905031.0,328,0.761179,0.524887,0.937036,107436,11,37,0.00933731,0.00474321,0.903370242678562,0.931129033693435
752580.0,339,0.214683,0.708086,0.741578,194726,28,43,0.00899162,0.00518993,0.9051758469586993,0.9279588312143674
675437.0,329,0.146091,0.56056,0.491073,159747,42,25,0.00822197,0.00965676,0.9093249207334231,0.9017311850076536
524208.0,143,0.0147077,0.574499,0.307698,97262,19,30,0.00821315,0.00984276,0.9093735689768156,0.9007893150915689
950775.0,233,0.110086,0.430036,0.474688,133518,12,10,0.00781357,0.0100838,0.9116055997248694,0.8995818741461483
915773.0,158,0.0242792,0.340865,0.470962,143585,37,50,0.00841063,0.0108823,0.9082905130316389,0.895681736977651
527586.0,110,0.163367,0.770208,0.825737,92993,41,36,0.00623255,0.0113457,0.9210534991275737,0.8934838040483983
905031.0,293,0.761179,0.551009,0.886952,128360,11,37,0.00915498,0.0115698,0.9043183403153979,0.8924369952074599
247454.0,346,0.169088,0.519832,0.678098,33560,37,33,0.0036149,0.0128522,0.9398759615461503,0.8866324561437445
247454.0,381,0.169088,0.469994,0.678098,33560,37,36,0.00362722,0.0129213,0.939773593831277,0.8863281037371153
613285.0,150,0.135932,0.77099,0.475985,153463,25,30,0.00797766,0.0129423,0.910682252603416,0.8862357701208328
279431.0,72,0.709745,0.479349,0.986402,173914,19,19,0.00707531,0.0139896,0.915885138055157,0.8817223605240618
279431.0,72,0.709745,0.479349,0.986402,173914,48,21,0.00707782,0.0142805,0.9158702193037448,0.8804989539794734
660446.0,448,0.0761095,0.242146,0.122488,84821,38,18,0.00733167,0.0159138,0.9143748284673251,0.8738500891795797
247454.0,381,0.169088,0.469994,0.551687,54315,42,36,0.00540366,0.0165867,0.9264904087890566,0.8712106370852002
285540.0,448,0.504484,0.533283,0.810488,76626,15,41,0.00773359,0.0167149,0.9120591676182218,0.8707138831892611
427137.0,329,0.624199,0.211035,0.88206,161041,42,38,0.00546503,0.0174355,0.9260741587805725,0.8679564465791685
437104.0,86,0.0950192,0.717646,0.515019,153711,43,13,0.00810014,0.018273,0.9099992222255829,0.8648223391236555
361276.0,448,0.552754,0.533283,0.810488,76626,12,36,0.00818085,0.0185948,0.9095519486113715,0.8636372484877193
437104.0,86,0.0977615,0.759086,0.442039,153711,43,13,0.00815305,0.0190928,0.9097057587661317,0.8618233015302508
437104.0,86,0.0977615,0.759086,0.439522,153711,43,13,0.00815128,0.0191657,0.9097155605876628,0.8615597601851254
226019.0,229,0.210971,0.753796,0.546014,80433,23,25,0.00658407,0.019554,0.9188577175573671,0.8601643822196934
541352.0,117,0.609392,0.715637,0.879309,99800,27,25,0.00606616,0.0200009,0.9221144429306691,0.8585754618179716
427137.0,329,0.624199,0.211035,0.88206,123350,41,40,0.00418983,0.0201156,0.9352711038252621,0.8581705249251764
361276.0,448,0.552754,0.393221,0.810488,76626,11,36,0.00727343,0.0205667,0.9147155934534337,0.8565890520218209
480852.0,117,0.609392,0.715637,0.87067,92896,27,25,0.00524416,0.0221972,0.9275834273111465,0.8510127522235544
552867.0,436,0.233668,0.265035,0.465017,187084,13,14,0.00758387,0.0248336,0.9129145821621094,0.8424131985222112
950775.0,209,0.110086,0.196676,0.474688,133518,12,12,0.00678376,0.0260312,0.9176364158137833,0.8386581269477759
464940.0,436,0.422537,0.509292,0.67771,106933,34,17,0.00785281,0.0266228,0.9113839179381079,0.8368350527840002
846967.0,49,0.368756,0.594552,0.956681,107037,15,20,0.00334165,0.0270919,0.9421929935042472,0.8354038275050115
846967.0,49,0.174182,0.594552,0.956681,128796,18,17,0.00555894,0.0274886,0.9254417006631723,0.8342031363384699
675437.0,329,0.288957,0.767661,0.491073,104954,40,25,0.00794293,0.0280109,0.9108768829090903,0.8326354278827206
988341.0,233,0.231072,0.484619,0.381415,155263,12,10,0.00726338,0.0298795,0.9147745343221875,0.8271431227865087
581058.0,441,0.887723,0.1,0.942306,47720,39,40,0.000815978,0.0316567,0.9714346713654473,0.8220767019190572
846967.0,49,0.407844,0.594552,0.906708,114241,15,20,0.00319754,0.0322995,0.9434532052190401,0.8202793834864792
348263.0,84,0.621719,0.70154,0.874988,79647,17,19,0.00189881,0.0326348,0.9564246629387677,0.8193489551649369
406310.0,356,0.237003,0.112399,0.890759,113886,40,32,0.00533927,0.0327643,0.9269296913924677,0.8189908842074521
361276.0,371,0.61565,0.515906,0.768874,68112,12,36,0.00735204,0.0328257,0.9142559623064087,0.8188213588747283
745532.0,168,0.170476,0.247687,0.620072,123127,36,37,0.00577533,0.0334163,0.9240044080225701,0.8171987417986408
307731.0,448,0.552754,0.533283,0.724074,76626,12,32,0.00756907,0.0334562,0.9129995977020795,0.8170896394405172
380088.0,229,0.32695,0.753796,0.546014,80433,19,25,0.00555628,0.033953,0.9254595411873525,0.81573660157264
457410.0,222,0.365264,0.637211,0.623194,53867,17,28,0.00432494,0.0339613,0.9342357239833053,0.8157140808417529
720626.0,198,0.102949,0.425924,0.0463528,15853,24,25,0.00157947,0.0339966,0.9602574535289949,0.8156183306290997
675437.0,341,0.327228,0.767661,0.491073,84404,10,22,0.00779365,0.0343213,0.9117183484522406,0.8147399125553483
348263.0,84,0.519706,0.636874,0.874988,82734,31,19,0.00210004,0.0346019,0.9541738066167393,0.8139841404610886
457410.0,222,0.365264,0.588184,0.623194,53867,17,44,0.00391494,0.0351099,0.9374305186212959,0.812623640765437
263571.0,229,0.851252,0.444421,0.800714,188555,36,38,0.00808704,0.0372709,0.910072028823063,0.806943272585491
464940.0,436,0.461625,0.509292,0.627737,131874,32,18,0.00804917,0.0381048,0.9102828333037651,0.8047954918553365
464940.0,441,0.488618,0.454484,0.630301,131874,32,18,0.0078529,0.0424573,0.9113834101310595,0.7939483074565996
406310.0,288,0.237003,0.112399,0.890759,120790,40,32,0.00520652,0.0428149,0.9278437805868406,0.7930823835435948
490752.0,395,0.125277,0.132542,0.510824,45875,40,27,0.0027062,0.0444771,0.947978850454839,0.7891040540930196
254771.0,229,0.851252,0.438713,0.800714,131118,36,41,0.00613072,0.0445462,0.9217010855758523,0.7889402928079355
969133.0,43,0.166529,0.660898,0.586294,141071,48,21,0.00559437,0.0447958,0.9252044787437108,0.7883498169147969
808281.0,315,0.256451,0.621541,0.261765,94015,33,44,0.00732417,0.0453872,0.9144186352060216,0.7869572812790824
454572.0,294,0.41521,0.437439,0.58192,99331,27,37,0.00522483,0.045746,0.9277170144501488,0.7861168543339612
476231.0,343,0.256451,0.621541,0.261765,94015,33,44,0.00671121,0.0462128,0.9180780249261531,0.7850283739653068
518162.0,305,0.807377,0.782924,0.775628,32239,43,21,0.00762315,0.0463699,0.9126893477289283,0.7846632869202281
676639.0,74,0.450186,0.577706,0.725295,102217,12,27,0.00256213,0.0477107,0.9493825129031478,0.7815722087279184
767443.0,138,0.211133,0.661168,0.959908,190439,46,32,0.00797316,0.00278647,0.9107074471190346,0.9472129750790973
285342.0,492,0.0736348,0.490762,0.47038,15092,35,43,0.00386179,0.00818791,0.9378566978669463,0.9095129291003405
533758.0,471,0.0241211,0.767098,0.968022,198935,20,48,0.00980274,0.000209343,0.900991212511212,0.9855313096653499
277759.0,426,0.0601123,0.685208,0.683828,13980,29,38,0.00466699,0.00390789,0.9316846283769165,0.9374868813767863
509313.0,331,0.0660871,0.767098,0.968022,193962,21,48,0.00949947,0.00043813,0.9025347754324652,0.9790684448738275
277759.0,426,0.05309,0.685208,0.683828,13980,32,38,0.00483942,0.00373326,0.9304340600581003,0.9388995908360672
521813.0,379,0.0521576,0.549298,0.683828,109548,29,38,0.00883678,0.00244665,0.9059958511553878,0.9505363770028923
669940.0,448,0.020626,0.563769,0.810488,67629,12,36,0.00896784,0.000968278,0.9053013199669605,0.9688828343193021
524208.0,500,0.174594,0.574499,0.99,137166,19,30,0.00921125,0.000446663,0.9040247427718998,0.9788655967673559
509313.0,370,0.194654,0.767098,0.968022,179493,21,45,0.0094104,0.000535783,0.902992783773577,0.9768530131550562
218818.0,252,0.372884,0.702149,0.897685,83582,36,49,0.0062557,0.00580426,0.9209070167461108,0.9238143058048297
247454.0,390,0.169088,0.605903,0.678098,33560,36,19,0.00448656,0.00975821,0.9330182114302701,0.9012163475062802
653631.0,329,0.512985,0.211035,0.988738,123350,40,40,0.00635163,0.00567911,0.9203028858740795,0.9246401300425751
380088.0,300,0.190009,0.758328,0.816707,80433,19,25,0.00705904,0.00422126,0.9159819067105186,0.9350287756002705
846135.0,336,0.0609352,0.708086,0.671001,197628,26,45,0.00928265,0.00140657,0.9036534899438491,0.9624957335760317
873686.0,254,0.046727,0.659036,0.404562,112666,43,10,0.0087641,0.00363039,0.9063832279983977,0.9397472822189737
285342.0,388,0.01,0.474409,0.47038,10000,35,43,0.00474127,0.00736991,0.9311431194432974,0.9141518200542376
389393.0,469,0.0601123,0.685208,0.683828,109548,31,20,0.00901645,0.00171213,0.9050450106629462,0.958622107351872
539426.0,254,0.112892,0.623636,0.825737,92993,45,36,0.00760023,0.00379479,0.9128207019986969,0.9383981331451716
752580.0,339,0.0609352,0.708086,0.671001,197628,28,43,0.00931034,0.00145605,0.9035098968805608,0.961841776770924
277759.0,426,0.0601123,0.685208,0.683828,109548,31,20,0.00921422,0.00198572,0.9040092712810243,0.9554385817101834
873686.0,254,0.046727,0.659036,0.404562,94788,43,12,0.00857262,0.00383017,0.907411555796633,0.9381116327570358
277759.0,426,0.01,0.549298,0.683828,109548,29,37,0.00960329,0.00138692,0.9020036225159318,0.9627586251596427
782888.0,254,0.0783115,0.659036,0.404562,98843,43,15,0.00809814,0.00640144,0.9100103339266113,0.9199910005061931
561739.0,229,0.210971,0.753796,0.74258,80433,35,25,0.00672438,0.00798221,0.9179976829595651,0.910656785372363
277759.0,426,0.01,0.549298,0.683828,109548,10,37,0.00962083,0.00113925,0.90191417023851,0.9662472223365246
752580.0,339,0.0609352,0.583613,0.671001,198195,33,43,0.009274,0.0017971,0.903698390459972,0.9576077837333314
868871.0,339,0.163355,0.708086,0.79503,190595,28,43,0.00908373,0.0024606,0.9046913959812651,0.9503955647144331
675437.0,407,0.124755,0.767661,0.491073,42494,37,36,0.0075886,0.00738083,0.9128874291505525,0.9140882429466142
675437.0,329,0.146091,0.56056,0.618326,159747,39,25,0.00827641,0.0063874,0.9090252232758992,0.9200787887979668
247454.0,381,0.0413214,0.469994,0.551687,54315,26,36,0.00782996,0.00676897,0.9115129387989408,0.9177262496296662
403992.0,485,0.169088,0.504003,0.678098,39029,36,36,0.00579407,0.00802443,0.923881211255039,0.9104208171504116
560947.0,138,0.512732,0.661168,0.959908,200000,42,32,0.00831261,0.00439391,0.9088264841085966,0.9337134251903147
398423.0,282,0.01,0.685208,0.583888,79451,31,20,0.00902913,0.00268192,0.904978265644117,0.9482127428801255
277759.0,426,0.0601123,0.685208,0.525377,109548,31,20,0.00918318,0.00290244,0.9041710899571533,0.9461257018607203
218818.0,252,0.372884,0.474701,0.897685,158925,43,49,0.00882638,0.00421362,0.9060511841479628,0.9350875974870749
745532.0,299,0.0785019,0.367739,0.620072,147253,36,37,0.00849611,0.00585617,0.9078256543283327,0.9234743833739316
911786.0,146,0.01,0.634489,0.397189,97262,18,30,0.00871317,0.00477655,0.9066556375564115,0.9308874106981948
212423.0,434,0.0178387,0.497241,0.192197,110631,25,28,0.00960988,0.00219425,0.9019700045904316,0.9531571777109875
911786.0,129,0.311346,0.668442,0.879582,97262,34,28,0.0064907,0.00808509,0.919435119313686,0.9100828714871299
682925.0,253,0.0783115,0.653222,0.404562,98843,43,15,0.00807369,0.00690124,0.9101462855525716,0.9169262977832334
377621.0,434,0.010076,0.591166,0.192197,129233,17,29,0.00963327,0.00128327,0.9018507768752091,0.964177241870565
958019.0,146,0.0424765,0.666795,0.404867,97262,18,30,0.00825331,0.00654929,0.9091522702540125,0.91907231623233
212423.0,434,0.0178387,0.359371,0.192197,110631,28,27,0.00946805,0.00347562,0.9026960946313047,0.9410456108504209
342300.0,339,0.0601123,0.68579,0.425352,104955,31,28,0.00886581,0.0045294,0.9058415696817327,0.9326991827687063
775400.0,329,0.146091,0.566374,0.597734,159747,42,25,0.00831362,0.00663016,0.9088209453876605,0.9185742055611368
524208.0,188,0.0147077,0.574499,0.413137,97262,19,30,0.00863319,0.00608,0.9070850388796293,0.9220256452415283
561739.0,229,0.210971,0.67311,0.74258,90114,35,25,0.00664005,0.0084782,0.9185134980502906,0.9079228584283808
212423.0,434,0.0178387,0.359371,0.192197,109151,50,27,0.00944996,0.00355453,0.9027890952618998,0.9403801207649664
1000000.0,328,0.559124,0.524887,0.924448,148506,25,37,0.00938229,0.0041584,0.9031377782621108,0.9355143426799416
992766.0,115,0.0147077,0.574499,0.450023,97262,10,30,0.00827227,0.0070948,0.9090479796815926,0.9157693642431686
911786.0,146,0.01,0.634489,0.397189,115008,18,30,0.00890511,0.00435743,0.9056331096199519,0.9339891675556201
533758.0,135,0.0133703,0.767098,0.267373,159031,20,48,0.00936828,0.00433666,0.9032101244964124,0.9341466781399753
675437.0,329,0.146091,0.767661,0.491073,84404,40,24,0.00782245,0.0094087,0.9115553845618627,0.9030015464040793
675437.0,329,0.146091,0.767661,0.491073,62398,40,24,0.00748023,0.00982962,0.9135116770887538,0.9008555599138308
905031.0,328,0.761179,0.524887,0.937036,107436,11,37,0.00933731,0.00474321,0.903370242678562,0.931129033693435
752580.0,339,0.214683,0.708086,0.741578,194726,28,43,0.00899162,0.00518993,0.9051758469586993,0.9279588312143674
675437.0,329,0.146091,0.767661,0.491073,84404,40,24,0.00782245,0.0094087,0.9115553845618627,0.9030015464040793
904542.0,233,0.0776096,0.430036,0.402773,115908,12,10,0.00799014,0.00898943,0.9106124169696932,0.9051873953527275
950775.0,233,0.0709929,0.430036,0.474688,133580,12,10,0.00833724,0.00685533,0.9086915118951147,0.9172030797674213
675437.0,329,0.146091,0.767661,0.491073,84404,40,24,0.00782245,0.0094087,0.9115553845618627,0.9030015464040793
911786.0,115,0.0147077,0.574499,0.397189,97262,19,30,0.00817196,0.00905304,0.9096011062014584,0.9048525355040924
662193.0,299,0.0785019,0.367739,0.560631,147253,36,37,0.00850617,0.00692291,0.907771099974032,0.9167959736551169
675437.0,329,0.146091,0.56056,0.491073,159747,42,25,0.00822197,0.00965676,0.9093249207334231,0.9017311850076536
524208.0,143,0.0147077,0.574499,0.307698,97262,19,30,0.00821315,0.00984276,0.9093735689768156,0.9007893150915689
200000.0,332,0.169088,0.469994,0.678098,112499,37,36,0.00858586,0.00840756,0.9073400841787561,0.9083072521951708
950775.0,233,0.110086,0.430036,0.474688,133518,12,10,0.00781357,0.0100838,0.9116055997248694,0.8995818741461483
660446.0,448,0.0652881,0.336179,0.122488,84821,38,23,0.00788884,0.0101455,0.9111808579190274,0.8992751272028602
464940.0,441,0.488618,0.454484,0.861606,105052,32,18,0.00850543,0.0102554,0.907775111818989,0.8987310511558454
754680.0,332,0.146091,0.767661,0.452092,82393,40,24,0.00793518,0.0103268,0.9109203726994775,0.898379136000524
915773.0,158,0.0242792,0.340865,0.470962,143585,37,50,0.00841063,0.0108823,0.9082905130316389,0.895681736977651
448943.0,377,0.146091,0.633521,0.491073,62398,41,24,0.00673032,0.0111086,0.9179614724656763,0.8946026565799687
950775.0,233,0.110086,0.430036,0.439047,139176,22,10,0.00786951,0.0112181,0.9112897412922271,0.8940844676168788
527586.0,110,0.163367,0.770208,0.825737,92993,41,36,0.00623255,0.0113457,0.9210534991275737,0.8934838040483983
905031.0,293,0.761179,0.551009,0.886952,128360,11,37,0.00915498,0.0115698,0.9043183403153979,0.8924369952074599
